SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,Local,MISTEM_NAME,MISTEM_CODE,ELAGr3Prof31aCnt,ELAGr3Prof31a,ELAGr3NotProf31aCnt,ELAGr3NotProf31a,MathGr8Prof31aCnt,MathGr8Prof31a,MathGr8NotProf31aCnt,MathGr8NotProf31a,CollegeReady31aCnt,CollegeReady31a,CollegeNotReadyCnt,CollegeNotReady
20 - 21 School Year,03,Allegan Area Educational Service Agency,03000,Allegan Area Educational Service Agency  - District created from ISD,00000,All Buildings,03,Allegan,ISD District,Town: Distant,Greater West Michigan Region,8,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,03,Allegan Area Educational Service Agency,03010,Plainwell Community Schools,00000,All Buildings,03,Allegan,LEA District,Town: Fringe,Greater West Michigan Region,8,44,39.3,68,60.7,36,23.1,120,76.9,37,20.8,141,79.2
20 - 21 School Year,03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,00000,All Buildings,03,Allegan,LEA District,Town: Fringe,Greater West Michigan Region,8,69,54.3,58,45.7,32,25.2,95,74.8,71,38.2,115,61.8
20 - 21 School Year,03,Allegan Area Educational Service Agency,03030,Allegan Public Schools,00000,All Buildings,03,Allegan,LEA District,Town: Distant,Greater West Michigan Region,8,28,29.5,67,70.5,14,20.6,54,79.4,49,22.9,165,77.1
20 - 21 School Year,03,Allegan Area Educational Service Agency,03040,Wayland Union Schools,00000,All Buildings,03,Allegan,LEA District,Town: Fringe,Greater West Michigan Region,8,51,37.2,86,62.8,42,31.1,93,68.9,63,29.2,153,70.8
20 - 21 School Year,03,Allegan Area Educational Service Agency,03050,Fennville Public Schools,00000,All Buildings,03,Allegan,LEA District,Rural: Distant,Greater West Michigan Region,8,15,23.1,50,76.9,13,16.5,66,83.5,29,17.1,141,82.9
20 - 21 School Year,03,Allegan Area Educational Service Agency,03060,Martin Public Schools,00000,All Buildings,03,Allegan,LEA District,Rural: Distant,Greater West Michigan Region,8,< 10,37.5,15,62.5,< 10,11.8,15,88.2,11,32.4,23,67.6
20 - 21 School Year,03,Allegan Area Educational Service Agency,03070,Hopkins Public Schools,00000,All Buildings,03,Allegan,LEA District,Rural: Distant,Greater West Michigan Region,8,24,44.4,30,55.6,29,29.3,70,70.7,26,27.7,68,72.3
20 - 21 School Year,03,Allegan Area Educational Service Agency,03440,Glenn Public School District,00000,All Buildings,03,Allegan,LEA District,Rural: Distant,Greater West Michigan Region,8,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,03,Allegan Area Educational Service Agency,03900,Innocademy Allegan Campus,00000,All Buildings,03,Allegan,PSA District,Rural: Distant,Greater West Michigan Region,8,< 10,33.3,< 10,66.7,< 10,40,< 10,60,N/A,N/A,N/A,N/A
20 - 21 School Year,03,Allegan Area Educational Service Agency,03902,Outlook Academy,00000,All Buildings,03,Allegan,PSA District,Rural: Fringe,Greater West Michigan Region,8,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
20 - 21 School Year,04,Alpena-Montmorency-Alcona ESD,01010,Alcona Community Schools,00000,All Buildings,04,Alpena,LEA District,Rural: Distant,NEMi Region (Northeast Michigan) Region,12,12,33.3,24,66.7,< 10,23.5,26,76.5,< 10,16.7,35,83.3
20 - 21 School Year,04,Alpena-Montmorency-Alcona ESD,04010,Alpena Public Schools,00000,All Buildings,04,Alpena,LEA District,Town: Remote,NEMi Region (Northeast Michigan) Region,12,52,29.9,122,70.1,46,24.5,142,75.5,132,36.9,226,63.1
20 - 21 School Year,04,Alpena-Montmorency-Alcona ESD,60010,Atlanta Community Schools,00000,All Buildings,04,Alpena,LEA District,Rural: Remote,NEMi Region (Northeast Michigan) Region,12,< 10,18.8,13,81.3,< 10,15.4,11,84.6,< 10,16.7,25,83.3
20 - 21 School Year,04,Alpena-Montmorency-Alcona ESD,60020,Hillman Community Schools,00000,All Buildings,04,Alpena,LEA District,Rural: Remote,NEMi Region (Northeast Michigan) Region,12,< 10,23.1,20,76.9,< 10,31.6,13,68.4,< 10,21.4,33,78.6
20 - 21 School Year,08,Barry ISD,08010,Delton Kellogg Schools,00000,All Buildings,08,Barry,LEA District,Rural: Distant,Southwest Region,1,11,22.9,37,77.1,13,30.2,30,69.8,< 10,19,34,81
20 - 21 School Year,08,Barry ISD,08030,Hastings Area School District,00000,All Buildings,08,Barry,LEA District,Town: Distant,Southwest Region,1,61,46.9,69,53.1,43,33.9,84,66.1,38,26.8,104,73.2
20 - 21 School Year,09,Bay-Arenac ISD,06020,Au Gres-Sims School District,00000,All Buildings,09,Bay,LEA District,Rural: Remote,East Central Michigan Region,10,15,62.5,< 10,37.5,< 10,18.5,22,81.5,< 10,35,13,65
20 - 21 School Year,09,Bay-Arenac ISD,06050,Standish-Sterling Community Schools,00000,All Buildings,09,Bay,LEA District,Rural: Distant,East Central Michigan Region,10,35,40.7,51,59.3,26,28.3,66,71.7,46,41.1,66,58.9
20 - 21 School Year,09,Bay-Arenac ISD,09000,Bay-Arenac ISD  - District created from ISD,00000,All Buildings,09,Bay,ISD District,Suburb: Small,East Central Michigan Region,10,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,09,Bay-Arenac ISD,09010,Bay City School District,00000,All Buildings,09,Bay,LEA District,City: Small,East Central Michigan Region,10,101,31.1,224,68.9,75,21.1,280,78.9,188,31.2,414,68.8
20 - 21 School Year,09,Bay-Arenac ISD,09030,Bangor Township Schools,00000,All Buildings,09,Bay,LEA District,Suburb: Small,East Central Michigan Region,10,31,30.7,70,69.3,17,23,57,77,51,48.1,55,51.9
20 - 21 School Year,09,Bay-Arenac ISD,09050,Essexville-Hampton Public Schools,00000,All Buildings,09,Bay,LEA District,Suburb: Small,East Central Michigan Region,10,16,20.3,63,79.7,19,21.8,68,78.2,105,44.1,133,55.9
20 - 21 School Year,09,Bay-Arenac ISD,09090,Pinconning Area Schools,00000,All Buildings,09,Bay,LEA District,Rural: Distant,East Central Michigan Region,10,13,24.1,41,75.9,25,25.3,74,74.7,45,37.5,75,62.5
20 - 21 School Year,09,Bay-Arenac ISD,09901,Bay-Arenac Community High School,00000,All Buildings,09,Bay,PSA District,Suburb: Small,East Central Michigan Region,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10
